Error Type,Topic Guid,Message
Warning,87496bc5-9601-4473-8021-cb05c71369c1,Found a an ul list inside a table in html file:87496bc5-9601-4473-8021-cb05c71369c1.xml
Warning,87496bc5-9601-4473-8021-cb05c71369c1,Could not Add new line after images in md file:87496bc5-9601-4473-8021-cb05c71369c1.md
Warning,88935b4e-dcb1-47f1-8aca-1bf8fb069db6,Found a an ul list inside a table in html file:88935b4e-dcb1-47f1-8aca-1bf8fb069db6.xml
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found a an ul list inside a table in html file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.xml
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found nested table in md file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Fixing missing end table tag in file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Found invalid tables saving file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8ccac9e4-3a50-49fa-a95b-d186032a6ee3,Could not Add new line after images in md file:8ccac9e4-3a50-49fa-a95b-d186032a6ee3.md
Warning,8d274fe3-db51-4107-ba64-865e7155b355,Found a an ul list inside a table in html file:8d274fe3-db51-4107-ba64-865e7155b355.xml
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Missing tables headers in file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Fixing missing end table tag in file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Found invalid tables saving file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
Warning,8dd335ab-29d0-41c3-8dd8-9f7c7481e60c,Could not Add new line after images in md file:8dd335ab-29d0-41c3-8dd8-9f7c7481e60c.md
